,model,kf,Accuracy
0,ExplainableBoostingC,0,0.861
1,ExplainableBoostingC,1,0.8567
2,ExplainableBoostingC,2,0.8576
3,ExplainableBoostingC,3,0.8616
4,ExplainableBoostingC,4,0.8554
5,RFC,0,0.858
6,RFC,1,0.8577
7,RFC,2,0.8563
8,RFC,3,0.8584
9,RFC,4,0.8548
10,GradientBoostingC,0,0.8602
11,GradientBoostingC,1,0.8539
12,GradientBoostingC,2,0.8581
13,GradientBoostingC,3,0.8593
14,GradientBoostingC,4,0.8538
15,AdaBoostC,0,0.8572
16,AdaBoostC,1,0.8541
17,AdaBoostC,2,0.8547
18,AdaBoostC,3,0.8565
19,AdaBoostC,4,0.8508
20,XGBoostC,0,0.8586
21,XGBoostC,1,0.8557
22,XGBoostC,2,0.8573
23,XGBoostC,3,0.8593
24,XGBoostC,4,0.8541
