model,kf,MSE
none,0,0.0
ExplainableBoostingR,0,8.961833784177811
ExplainableBoostingR,1,9.224054841579003
ExplainableBoostingR,2,9.347418165626342
ExplainableBoostingR,3,9.315652241069625
ExplainableBoostingR,4,8.979058151545676
RFR,0,9.013654954938351
RFR,1,9.239647202677702
RFR,2,9.369079979529378
RFR,3,9.353163638168647
RFR,4,9.033858597518543
GradientBoostingR,0,8.981748225746706
GradientBoostingR,1,9.24075099307379
GradientBoostingR,2,9.369905682484024
GradientBoostingR,3,9.380705736505732
GradientBoostingR,4,8.987633406184582
AdaBoostR,0,11.056903472289035
AdaBoostR,1,11.02642140917148
AdaBoostR,2,11.25438561908473
AdaBoostR,3,11.126578812082805
AdaBoostR,4,10.930628373163438
XGBoostR,0,9.002112375983327
XGBoostR,1,9.269038315248872
XGBoostR,2,9.381567848002076
XGBoostR,3,9.387180488918332
XGBoostR,4,9.009867731786999
